Inicio del informe,Fin del informe,Nombre de la campaña,Entrega de la campaña,Presupuesto del conjunto de anuncios,Resultados,Indicador de resultado,Alcance,Impresiones,Coste por resultados,Importe gastado (ARS),Fin,Tasa de resultados,Frecuencia,Clics (todos),CPC (todos) (ARS),CTR (todos)
2024-01-01,2024-05-03,Pymes y Despachos Prof.,inactive,Con el presupuesto del conjunto de anuncios,,,3053.0,5824.0,,67437.19,2024-01-31,,1.907632,39.0,1729.158718,0.669643
2024-01-01,2024-05-03,Marketing Digital,inactive,Con el presupuesto del conjunto de anuncios,,,,,,,2023-12-31,,,,,
2024-01-01,2024-05-03,Reconocimiento ARG,inactive,5000,,,,,,,En curso,,,,,
2024-01-01,2024-05-03,Leads Gen Despacho y Pyme,inactive,Con el presupuesto del conjunto de anuncios,10.0,actions:onsite_conversion.lead_grouped,10939.0,21802.0,11839.315,118393.15,2024-01-15,0.04586735,1.993052,152.0,778.902303,0.697184
2024-01-01,2024-05-03,Leads Gen Turismo Campaña,inactive,Con el presupuesto del conjunto de anuncios,12.0,actions:onsite_conversion.lead_grouped,5439.0,8637.0,4838.99,58067.88,2024-01-15,0.13893713,1.587976,63.0,921.712381,0.72942
2024-01-01,2024-05-03,Leads Gen Industrias Agro/Gana/Pesca/,inactive,Con el presupuesto del conjunto de anuncios,5.0,actions:onsite_conversion.lead_grouped,10779.0,21915.0,24745.818,123729.09,2024-01-25,0.02281542,2.03312,188.0,658.133457,0.85786
2024-01-01,2024-05-03,Leads Gen Agro,inactive,Con el presupuesto del conjunto de anuncios,2.0,actions:onsite_conversion.lead_grouped,1815.0,2305.0,12080.13,24160.26,2024-01-31,0.0867679,1.269972,21.0,1150.488571,0.911063
2024-01-01,2024-05-03,Leads Gen Agro - Febrero Campaña,inactive,Con el presupuesto del conjunto de anuncios,4.0,actions:onsite_conversion.lead_grouped,1533.0,2276.0,7340.3775,29361.51,2024-02-15,0.17574692,1.484671,31.0,947.145484,1.362039
2024-01-01,2024-05-03,Clientes potenciales AGSP Febrero,inactive,Con el presupuesto del conjunto de anuncios,,,1112.0,1549.0,,18563.25,2024-02-17,,1.392986,6.0,3093.875,0.387347
2024-01-01,2024-05-03,Cursos Power BI - Misma Landing Campaña,inactive,Con el presupuesto del conjunto de anuncios,15.0,actions:onsite_conversion.lead_grouped,7569.0,22446.0,13446.816,201702.24,En curso,0.06682705,2.965517,171.0,1179.545263,0.761828
2024-01-01,2024-05-03,Leads Gen Despacho y Pyme - FSH - Feb2024,inactive,Con el presupuesto del conjunto de anuncios,6.0,actions:onsite_conversion.lead_grouped,5632.0,11823.0,10774.87333333,64649.24,2024-02-28,0.05074854,2.099254,80.0,808.1155,0.676647
2024-01-01,2024-05-03,Cursos Power BI - Chile Campaña,inactive,Con el presupuesto del conjunto de anuncios,13.0,actions:onsite_conversion.lead_grouped,8281.0,15107.0,2491.91846154,32394.94,2024-03-06,0.08605282,1.824297,82.0,395.060244,0.542795
2024-01-01,2024-05-03,Campaña Cursos Ciudades ES Marzo Campaña,inactive,Con el presupuesto del conjunto de anuncios,11.0,actions:onsite_conversion.lead_grouped,4259.0,6340.0,2984.49363636,32829.43,2024-03-18,0.17350158,1.488612,48.0,683.946458,0.757098
2024-01-01,2024-05-03,Despacho y Pymes Campaña,inactive,Con el presupuesto del conjunto de anuncios,3.0,actions:onsite_conversion.lead_grouped,5173.0,8405.0,30306.07333333,90918.22,En curso,0.03569304,1.624783,52.0,1748.427308,0.618679
2024-01-01,2024-05-03,AGRO - ANDALUSIA,inactive,Con el presupuesto del conjunto de anuncios,1.0,actions:onsite_conversion.lead_grouped,3694.0,8523.0,72753.15,72753.15,En curso,0.01173296,2.307255,46.0,1581.590217,0.539716
2024-01-01,2024-05-03,Cursos España 25/03/2024 Campaña,inactive,Con el presupuesto del conjunto de anuncios,8.0,actions:onsite_conversion.lead_grouped,2762.0,5944.0,5371.0325,42968.26,En curso,0.1345895,2.152064,40.0,1074.2065,0.672948
2024-01-01,2024-05-03,Campaña Cursos Ciudades,inactive,Con el presupuesto del conjunto de anuncios,34.0,actions:onsite_conversion.lead_grouped,5592.0,14794.0,3358.13823529,114176.7,En curso,0.2298229,2.645565,172.0,663.818023,1.162634
2024-01-01,2024-05-03,Campaña Consultoria Agro [Tráfico],inactive,Con el presupuesto del conjunto de anuncios,524.0,actions:link_click,59357.0,87147.0,81.0154771,42452.11,En curso,0.60128289,1.468184,534.0,79.498333,0.612758
2024-01-01,2024-05-03,Campaña Consultoria Agro [Clientes potenciales],inactive,Con el presupuesto del conjunto de anuncios,3.0,actions:onsite_conversion.lead_grouped,1759.0,4390.0,15431.98666667,46295.96,En curso,0.06833713,2.495736,35.0,1322.741714,0.797267
2024-01-01,2024-05-03,Campaña Cursos Ciudades - Chile - Uru,inactive,Con el presupuesto del conjunto de anuncios,83.0,actions:onsite_conversion.lead_grouped,12771.0,35976.0,1246.79084337,103483.64,En curso,0.23070936,2.817007,330.0,313.586788,0.917278
2024-01-01,2024-05-03,Despachos prof - ES - IA Campaña,not_delivering,Con el presupuesto del conjunto de anuncios,14.0,actions:onsite_conversion.lead_grouped,9786.0,17476.0,14774.495,206842.93,En curso,0.08010986,1.785816,121.0,1709.445702,0.692378
2024-01-01,2024-05-03,Campaña Cursos Ciudades - Chile - Uru - V2 Campaña,not_delivering,Con el presupuesto del conjunto de anuncios,16.0,actions:onsite_conversion.lead_grouped,3855.0,7961.0,1462.096875,23393.55,En curso,0.20097978,2.06511,75.0,311.914,0.942093
2024-01-01,2024-05-03,Campaña Cursos Ciudades - Chile - Uru - V2 Campaña - Copia,not_delivering,Con el presupuesto del conjunto de anuncios,21.0,actions:onsite_conversion.lead_grouped,4000.0,7462.0,1130.84809524,23747.81,En curso,0.28142589,1.8655,122.0,194.65418,1.63495
2024-01-01,2024-05-03,Campaña Cursos Ciudades - Tailored leads campaign - V2 Campaña,not_delivering,Con el presupuesto del conjunto de anuncios,14.0,actions:onsite_conversion.lead_grouped,1754.0,2817.0,1650.05928571,23100.83,En curso,0.49698261,1.606043,50.0,462.0166,1.774938
